CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_CURSO|NO_CURSO|CO_CURSO_POLO|CO_TURNO_ALUNO|DS_TURNO_ALUNO|CO_GRAU_ACADEMICO|DS_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|DS_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|DS_NIVEL_ACADEMICO|CO_OCDE|NO_OCDE|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_ALUNO_CURSO|CO_ALUNO_CURSO_ORIGEM|CO_ALUNO|CO_COR_RACA_ALUNO|DS_COR_RACA_ALUNO|IN_SEXO_ALUNO|DS_SEXO_ALUNO|NU_ANO_ALUNO_NASC|NU_MES_ALUNO_NASC|NU_DIA_ALUNO_NASC|NU_IDADE_ALUNO|CO_NACIONALIDADE_ALUNO|DS_NACIONALIDADE_ALUNO|CO_PAIS_ORIGEM_ALUNO|CO_UF_NASCIMENTO|CO_MUNICIPIO_NASCIMENTO|IN_ALUNO_DEF_TGD_SUPER|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_DEF_SURDEZ|IN_DEF_SURDOCEGUEIRA|IN_DEF_BAIXA_VISAO|IN_DEF_CEGUEIRA|IN_DEF_SUPERDOTACAO|IN_TGD_AUTISMO_INFANTIL|IN_TGD_SINDROME_ASPERGER|IN_TGD_SINDROME_RETT|IN_TGD_TRANSTOR_DESINTEGRATIVO|CO_ALUNO_SITUACAO|DS_ALUNO_SITUACAO|DT_INGRESSO_CURSO|IN_ING_VESTIBULAR|IN_ING_ENEM|IN_ING_AVALIACAO_SERIADA|IN_ING_SELECAO_SIMPLIFICADA|IN_ING_SELECAO_VAGA_REMANESC|IN_ING_SELECAO_VAGA_PROG_ESPEC|IN_ING_TRANSF_EXOFFICIO|IN_ING_DECISAO_JUDICIAL|IN_ING_CONVENIO_PECG|IN_RESERVA_VAGAS|IN_RESERVA_ETNICO|IN_RESERVA_DEFICIENCIA|IN_RESERVA_ENSINO_PUBLICO|IN_RESERVA_RENDA_FAMILIAR|IN_RESERVA_OUTRA|IN_FINANC_ESTUDANTIL|IN_FIN_REEMB_FIES|IN_FIN_REEMB_ESTADUAL|IN_FIN_REEMB_MUNICIPAL|IN_FIN_REEMB_PROG_IES|IN_FIN_REEMB_ENT_EXTERNA|IN_FIN_REEMB_OUTRA|IN_FIN_NAOREEMB_PROUNI_INTEGR|IN_FIN_NAOREEMB_PROUNI_PARCIAL|IN_FIN_NAOREEMB_ESTADUAL|IN_FIN_NAOREEMB_MUNICIPAL|IN_FIN_NAOREEMB_PROG_IES|IN_FIN_NAOREEMB_ENT_EXTERNA|IN_FIN_NAOREEMB_OUTRA|IN_APOIO_SOCIAL|IN_APOIO_ALIMENTACAO|IN_APOIO_BOLSA_PERMANENCIA|IN_APOIO_BOLSA_TRABALHO|IN_APOIO_MATERIAL_DIDATICO|IN_APOIO_MORADIA|IN_APOIO_TRANSPORTE|IN_ATIVIDADE_EXTRACURRICULAR|IN_COMPL_ESTAGIO|IN_COMPL_EXTENSAO|IN_COMPL_MONITORIA|IN_COMPL_PESQUISA|IN_BOLSA_ESTAGIO|IN_BOLSA_EXTENSAO|IN_BOLSA_MONITORIA|IN_BOLSA_PESQUISA|CO_TIPO_ESCOLA_ENS_MEDIO|IN_ALUNO_PARFOR|CO_SEMESTRE_CONCLUSAO|CO_SEMESTRE_REFERENCIA|IN_MOBILIDADE_ACADEMICA|CO_MOBILIDADE_ACADEMICA|CO_MOBILIDADE_ACADEMICA_INTERN|CO_IES_DESTINO|CO_PAIS_DESTINO|IN_MATRICULA|IN_CONCLUINTE|IN_INGRESSO_TOTAL|IN_INGRESSO_VAGA_NOVA|ANO_INGRESSO
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|1|DIREITO||3|Noturno|1|Bacharelado|1|Presencial|1|Gradua��o|380D01|Direito|3|Ci�ncias sociais, neg�cios e direito|38|Direito|380|Direito|26393329||400015690975|3|Parda|0|Masculino|1980|4|25|34|3|Estrangeira|24|||2||||||||||||||2|Cursando|01/01/2013|0|1|0|0|0|0|0|0|0|1|1|0|1|0|0|||||||||||||||0|||||||0|||||||||1|||2|0|||||1|0|0|0|2013
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|2|CI�NCIAS ECON�MICAS||1|Matutino|1|Bacharelado|1|Presencial|1|Gradua��o|31400|Economia|3|Ci�ncias sociais, neg�cios e direito|31|Ci�ncias sociais e comportamentais|314|Economia|26432508||400014915632|2|Preta|0|Masculino|1989|6|10|25|3|Estrangeira|178|||2||||||||||||||2|Cursando|01/01/2012|0|0|0|0|0|0|0|0|1|0||||||||||||||||||||0|||||||1|0|0|1|0|||1||0|||2|0|||||1|0|0|0|2012
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|2|CI�NCIAS ECON�MICAS||1|Matutino|1|Bacharelado|1|Presencial|1|Gradua��o|31400|Economia|3|Ci�ncias sociais, neg�cios e direito|31|Ci�ncias sociais e comportamentais|314|Economia|26389823||400018315980|2|Preta|1|Feminino|1996|9|6|18|3|Estrangeira|22|||2||||||||||||||2|Cursando|01/01/2014|0|1|0|0|0|0|0|0|0|0||||||||||||||||||||0|||||||0|||||||||0|||2|0|||||1|0|1|1|2014
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|3|ENGENHARIA CIVIL||4|Integral|1|Bacharelado|1|Presencial|1|Gradua��o|582000|Engenharia civil|5|Engenharia, produ��o e constru��o|58|Arquitetura e constru��o|582|Engenharia civil e de constru��o|26426144||400013228035|1|Branca|0|Masculino|1993|2|26|21|3|Estrangeira|45|||2||||||||||||||2|Cursando|01/01/2011|0|1|0|0|0|0|0|0|0|0||||||||||||||||||||0|||||||0|||||||||0|||2|0|||||1|0|0|0|2011
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|10|ENGENHARIA FLORESTAL||4|Integral|1|Bacharelado|1|Presencial|1|Gradua��o|6230|Engenharia florestal|6|Agricultura e veterin�ria|62|Agricultura, florestas e recursos pesqueiros|623|Engenharia florestal - silvicultura|26384901||400008506855|1|Branca|1|Feminino|1983|1|3|31|3|Estrangeira|22|||2||||||||||||||3|Matr�cula trancada|01/07/2006|1|1|0|0|0|0|0|0|0|0||||||||||||||||||||0|||||||0|||||||||0|||2||||||0|0|0|0|2006
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|10|ENGENHARIA FLORESTAL||4|Integral|1|Bacharelado|1|Presencial|1|Gradua��o|6230|Engenharia florestal|6|Agricultura e veterin�ria|62|Agricultura, florestas e recursos pesqueiros|623|Engenharia florestal - silvicultura|26439171||400015688634|2|Preta|0|Masculino|1993|8|17|21|3|Estrangeira|210|||2||||||||||||||2|Cursando|01/07/2013|0|1|0|0|0|0|0|0|0|0||||||||||||||||||||0|||||||0|||||||||0|||2|0|||||1|0|0|0|2013
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|12|MEDICINA||4|Integral|1|Bacharelado|1|Presencial|1|Gradua��o|721M01|Medicina|7|Sa�de e bem estar social|72|Sa�de|721|Medicina|26432394||400014915577|1|Branca|0|Masculino|1982|5|27|32|3|Estrangeira|22|||2||||||||||||||3|Matr�cula trancada|01/01/2012|0|0|0|0|0|0|1|0|0|0||||||||||||||||||||0|||||||0|||||||||0|||2||||||0|0|0|0|2012
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|12|MEDICINA||4|Integral|1|Bacharelado|1|Presencial|1|Gradua��o|721M01|Medicina|7|Sa�de e bem estar social|72|Sa�de|721|Medicina|26432396||400014915578|1|Branca|1|Feminino|1985|3|8|29|3|Estrangeira|22|||2||||||||||||||3|Matr�cula trancada|01/01/2012|0|0|0|0|0|0|1|0|0|0||||||||||||||||||||0|||||||0|||||||||0|||2||||||0|0|0|0|2012
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|12|MEDICINA||4|Integral|1|Bacharelado|1|Presencial|1|Gradua��o|721M01|Medicina|7|Sa�de e bem estar social|72|Sa�de|721|Medicina|26414027||400011164755|0|Aluno n�o quis declarar cor/ra�a|0|Masculino|1981|7|24|33|3|Estrangeira|22|||2||||||||||||||3|Matr�cula trancada|01/01/2010|0|0|0|0|1|0|0|0|0|0||||||||||||||||||||0|||||||0|||||||||0|||2||||||0|0|0|0|2010
1|UNIVERSIDADE FEDERAL DE MATO GROSSO|1|P�blica Federal|1|Universidade|12|MEDICINA||4|Integral|1|Bacharelado|1|Presencial|1|Gradua��o|721M01|Medicina|7|Sa�de e bem estar social|72|Sa�de|721|Medicina|26414031||400011164757|3|Parda|1|Feminino|1980|8|15|34|3|Estrangeira|22|||2||||||||||||||3|Matr�cula trancada|01/01/2010|0|0|0|0|1|0|0|0|0|0||||||||||||||||||||0|||||||0|||||||||0|||2||||||0|0|0|0|2010
